Trial_id,Probe,Target,Ass_strength,Category,Wlevel,,,,Probe,,,,,,,,,Target,,,,,,,
156,scales,weights,5.6135057,high,6,,,,,9.44,10,2.31,1.02,6,-1,-1,,,7.77,8.31,0.77,0.94,7,-1,-1
157,lorry, highway,5.9583333,high,7,,,,,7.99,7.71,11.54,0.95,5,636,-1,,,15.92,17.05,1.54,1.23,7,581,-1
158,bread,braid,6.0100575,high,7,,,,,74.13,77.95,25.38,1.88,5,650,-1,,,1.96,2.11,0,0.47,5,-1,-1
159,cocktail,bar,6.0172414,high,7,,,,,8.21,8.8,0.77,0.96,8,604,-1,,,67.88,69.82,43.08,1.84,3,596,-1
160,pram,baby,6.0617816,high,7,,,,,5.31,5.66,0.77,0.8,4,612,-1,,,183.3,193.61,51.54,2.27,4,608,-1
161,garden,flower,6.0905172,high,7,,,,,111.4,115.42,60,2.05,6,635,519,,,27.71,28.25,20.77,1.46,6,618,573
162,jug, water,6.1458333,high,7,,,,,8.49,9.04,1.54,0.98,3,-1,-1,,,432.91,453.49,170,2.64,5,632,655
163,tea,mug,6.1867816,high,7,,,,,88.77,90.66,64.62,1.95,3,599,-1,,,6.26,6.33,5.38,0.86,3,574,441
164,frame,picture,6.1882184,high,7,,,,,26.82,26.57,30,1.44,5,508,-1,,,106.42,103.49,143.85,2.03,7,581,600
165,monarch,throne,6.1910920,high,7,,,,,5.53,5.72,3.08,0.81,7,572,-1,,,9.78,9.88,8.46,1.03,6,583,-1
166,hotel, guest,6.2291667,high,7,,,,,125.2,127.17,100,2.1,5,597,-1,,,24.36,25.78,6.15,1.4,5,364,-1
167,veil,bride,6.2500000,high,7,,,,,7.49,7.83,3.08,0.93,4,516,-1,,,10.45,10.9,4.62,1.06,5,668,-1
168,belt,vest,6.2500000,high,7,,,,,21.17,22.11,9.23,1.35,4,585,-1,,,4.86,5.18,0.77,0.77,4,571,-1
169,spacecraft,astronaut,6.2844828,high,7,,,,,1.68,1.81,0,0.43,10,-1,-1,,,0.95,1.02,0,0.29,9,-1,-1
170,church,vicar,6.3807471,high,7,,,,,158.88,163.31,102.31,2.2,6,616,-1,,,22.63,24.22,2.31,1.37,5,570,-1
171,pumpkin, halloween,6.4166667,high,7,,,,,1.68,1.81,0,0.43,7,-1,578,,,0,0,0,0,9,-1,-1
172,fiction,author,6.4396552,high,7,,,,,15.75,14.88,26.92,1.22,7,287,-1,,,29.16,28.01,43.85,1.48,6,460,-1
173,thread, stitch,6.4583333,high,7,,,,,11.06,11.27,8.46,1.08,6,568,-1,,,1.51,1.57,0.77,0.4,6,-1,-1
174,waitress, restaurant,6.4583333,high,7,,,,,7.71,8.07,3.08,0.94,8,-1,599,,,32.07,33.49,13.85,1.52,10,611,-1
175,web,spider,6.7500000,high,7,,,,,5.81,6.08,2.31,0.83,3,602,-1,,,4.08,4.28,1.54,0.71,6,597,-1
176,paramedic,ambulance,6.7500000,high,7,,,,,0,0,0,0,9,-1,-1,,,7.65,8.13,1.54,0.94,9,627,-1
177,volcano ,lava,6.7500000,high,7,,,,,3.46,3.73,0,0.65,7,627,-1,,,3.52,3.8,0,0.66,4,-1,-1
178,rocket ,space,6.8333333,high,7,,,,,8.1,8.25,6.15,0.96,6,612,-1,,,126.2,129.76,80.77,2.1,5,538,460
179,bed,duvet,6.8333333,high,7,,,,,244.47,257.59,76.92,2.39,3,635,-1,,,0.5,0.54,0,0.18,5,617,-1
180,ashtray, cigarette,6.8958333,high,7,,,,,5.31,5.54,2.31,0.8,7,-1,-1,,,49.27,51.69,18.46,1.7,9,645,-1
